회사명,거래소코드,회계년도,[제조]유동부채비율(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]CASH FLOW 대 매출액비율(IFRS),[제조]CASH FLOW 대 부채비율(IFRS),[제조]차입금의존도(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]금융비용 대 총비용비율(IFRS),[제조]설비투자효율(IFRS),[제조]CASH FLOW 대 총자본비율(IFRS),[제조]자본금회전률(IFRS),[제조]총자본투자효율(IFRS),[제조]총자본회전률(IFRS),[제조]유동자산증가율(IFRS),[제조]매출액증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출채권회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]부채비율(IFRS),[제조]유동비율(IFRS),[제조]자기자본배율(IFRS),[제조]당좌비율(IFRS),[제조]순운전자본비율(IFRS),[제조]현금비율(IFRS),[제조]타인자본회전률(IFRS),[제조]정상영업이익증가율(IFRS),[제조]총자본순이익률(IFRS)
(주)상상인,038540,2019/12,17.02,58.28,17.99,228.08,34.73,112.48,7.44,32.38,0.4,4363.72,19.91,2.8,44.04,0.62,-57.89,37.66,59.05,48.44,15.83,83.95,66.34,40.95,21.51,130.93,368.66,127.47,4.33,19.71,2.45,152.41,36.16
(주)상상인인더스트리,101000,2019/12,69.88,-24.48,-31.34,0,-27.17,-38.56,16.72,-0.75,2.61,-37.35,-18.66,1.31,-6.15,0.56,-11.27,-50.04,10.07,-32.23,6.52,4.91,1.94,89.93,93.78,217.08,80.04,177.2,42.22,8.62,0.97,0,-13.69
(주)상아프론테크,089980,2019/12,35.27,9.85,4.3,3.09,8.4,17.16,20.96,5.82,0.15,69.22,5.16,17.08,25.58,0.63,-2.56,-8.71,20.83,9.46,3.61,7.3,1.61,79.17,42.98,182.99,1877.47,150.41,20.47,9.21,1.81,-37.31,6.18
(주)상지카일룸,042940,2019/12,173.08,-7.17,2.2,0,5.98,4.43,48.43,-0.41,4.71,923.06,2.82,3.04,2.81,0.48,-41.94,93.6,10.75,-9.43,6.78,3.29,193.34,89.25,175.23,69.5,219.21,69.47,-19.18,2.62,0.75,0,-3.42
(주)새로닉스,042600,2019/12,29.05,0.56,-4.53,-82.8,2.98,7.1,13.91,1.34,-0.29,60.88,2.28,10.11,7.24,0.75,-9.97,-2.66,12.02,0.63,5.95,19.21,6.68,87.98,47.19,143.43,898.76,120.02,8.57,39.3,2.24,-59.97,0.42
(주)서남,294630,2019/12,38.6,-298.61,-1.37,0,-186.76,-58.06,16.61,-102.31,0.43,-25.64,-25.08,0.17,-10.76,0.13,-18.36,-70.88,-109.14,-64.38,2.03,0.7,0.28,209.14,76.03,198.23,71.36,100.7,21.54,79.53,0.35,0,-39.82
(주)서린바이오사이언스,038070,2019/12,25.52,16.46,13.33,249.86,10.83,28.78,0.03,160.21,-1.19,63.03,7.02,14.03,20.58,0.69,37.5,10.22,23.49,14.83,7.19,3.97,1.96,76.51,32.25,277.32,1572.02,202.42,34.22,27.26,2.92,6.61,11.33
(주)서부티엔디,006730,2019/12,95.61,0.04,5.02,0,28.76,3.23,43.52,0.48,19.32,10.52,2.03,4.77,5.11,0.07,-20.59,18.35,30.11,0.01,19.24,210.43,0.15,69.89,169.36,17.42,2425.75,17.32,-29.31,1.75,0.12,0,0
(주)서산,079650,2019/12,7.13,0.57,-4.33,24.03,3.56,27.74,0,-236.29,-2.24,94.68,2.12,12.08,14.1,0.58,-2.79,-22.02,9.41,0.36,5.39,18.03,3.85,90.59,8.26,427.25,1878.59,384.75,21.55,169.06,7.45,0,0.33
(주)서연탑메탈,019770,2019/12,84.25,-0.19,-2.06,0,14.71,35,26.05,10.26,0.79,52.41,16.08,22.82,18.54,1.08,-2,10.9,4.71,-0.38,3.85,87.17,2.99,95.29,84.97,117.33,1128.62,114.77,7.89,3.16,2.34,0,-0.2
(주)서울리거,043710,2019/12,27.49,-12.4,5.76,0,-12.85,-44.04,15.23,-2.72,1.03,-103.07,-9.76,3.76,-3.9,0.78,-43.1,202.47,4.71,-12.49,4.53,29.04,20.07,95.29,28.47,206.3,356.17,191.01,22.75,65.23,3.47,0,-9.68
(주)서울옥션,063170,2019/12,97.47,-31.97,2.99,0,-7.84,-1.78,46.35,-1.69,6.47,3.83,-1.12,2.44,1.33,0.14,1.52,-27.86,30.41,-11.39,3.56,0.43,0.43,69.59,169.37,157.15,634.72,65.83,20.68,22.15,0.24,0,-4.62
(주)서울제약,018680,2019/12,93.95,-3.46,1,0,1.63,2.07,37.43,2.58,2.43,41.56,1.24,12.72,23.08,0.76,0.67,23.83,56.73,-6.36,8.04,5.23,1.34,43.27,149.17,94.35,670.57,59.2,-2.13,28.68,1.31,0,-2.65
(주)서원인텍,093920,2019/12,13.23,5.11,-1.83,0,8.21,58.09,2.66,5.44,-0.5,106.29,6.82,14.94,15.73,0.82,3.55,-10.89,5.32,4.84,2.97,34.01,5.47,94.68,13.31,613.82,1585.6,598.64,59.99,107.42,6.33,0,4.21
(주)서전기전,189860,2019/12,48.71,2.19,8.11,-60.32,6.81,21.95,7.43,5.98,0.24,38.37,7.33,12.59,18.69,1.12,13.5,6.54,18.65,3.58,3.59,13.64,2.19,81.35,50.16,142.7,778.73,117.78,13.85,13.02,3.54,-79.04,2.45
(주)서진시스템,178320,2019/12,42.48,13.21,-1.23,-11.94,-24.27,-20.43,21.01,1.75,-2.47,181.39,-6.96,8.02,8.37,0.28,-4.42,45.84,22.13,5.84,0.69,6.55,5.92,77.87,51.63,233.54,1844.47,211.23,37.41,22.09,0.8,-57.71,3.76
(주)서진오토모티브,122690,2019/12,183.16,-12.29,-5.9,0,-0.53,-0.46,47.69,-1.37,3.42,18.57,-0.32,13.32,8.21,0.59,-17.77,4.68,4.1,-21.98,4.73,7.15,1.33,95.9,230.32,38.93,661.4,23.48,-33.87,0.12,0.88,0,-7.26
(주)서플러스글로벌,140070,2019/12,22.57,2.65,-2.38,-87.5,12.17,23.79,23.78,7.41,0.17,66.33,6.6,25.09,5.96,0.54,-11.17,-32.83,15.72,2,81.8,0.93,2.45,84.28,38.39,420.54,3342.58,77.28,52.27,52.26,1.85,-89.7,1.42
(주)서한,011370,2019/12,36.29,1.8,-0.64,-76.62,0.82,2.69,8.52,16.1,-0.37,498.72,0.96,10.86,10.75,1.16,1.31,-14.39,8.84,3.28,112.38,6.72,57.46,91.16,55.37,345.83,598.84,284.34,57.41,25.27,3.21,-63.14,2.09
(주)서희건설,035890,2019/12,105.11,5.26,18.84,36.95,5.22,13.76,7.26,18.67,0.28,1127.47,7.36,12.79,22.25,1.53,17.67,9.59,14.5,18.41,227.74,291.41,124.04,85.5,114.95,149.83,387.7,148.85,24.37,39.11,2.72,47.83,8.06
(주)선광,003100,2019/12,12.79,3.29,1.97,-71.41,29.9,20.74,21.64,10.68,0.31,18.42,5.22,11.29,9.16,0.18,-51.11,8.56,37.27,0.77,6.01,475.22,0.34,62.73,33.62,50.67,4840.95,50.67,-4.72,1.36,0.72,27.92,0.58
(주)선익시스템,171090,2019/12,30.99,8.2,3.55,31.39,6.15,18.75,0.34,683.49,-0.58,94.82,4.49,19.41,20.01,0.74,-3.03,-25.99,26.47,8.18,11.94,5.92,3.17,73.53,31.5,274.64,2021.33,232.55,41.16,53.2,2.92,35.06,6.09
(주)성광벤드,014620,2019/12,4.79,4.98,0.99,0,-0.63,-3.04,0.02,1366.83,-0.42,20.89,-0.25,13.2,9.13,0.4,0.63,21.67,18.2,2.2,4.5,1.6,0.91,81.8,9.05,1097.73,3013.43,521.82,43.82,199.4,4.75,0,2.01
(주)성도이엔지,037350,2019/12,124.9,-12.97,12.74,0,4.21,8.31,5.29,33.81,-0.42,134.78,5.84,64.2,9.26,1.47,-10.09,23.4,6.34,-48.02,8.29,60.77,22.38,93.66,236.49,137.62,1374.13,136.51,13.96,23.27,2.44,-3.6,-19.09
(주)성우하이텍,015750,2019/12,63.28,-2.25,-4.82,0,16.39,24.24,30.96,3.17,1.34,54.24,10.83,30.45,9.92,0.64,-4.03,1.56,10.86,-2.64,3.1,8.97,2.85,89.14,80.74,112.52,2550.66,91.18,4.38,12.98,1.43,67.05,-1.45
(주)성창오토텍,080470,2019/12,82.07,-1.09,-4.57,0,0.01,0.03,12.97,4.45,-0.03,149.66,0.01,19.43,18.29,0.93,-8.27,-7.03,14.05,-2.01,3.91,9.09,6.79,85.95,95.96,135.7,1040.2,107.79,14.95,3.69,1.88,-56.52,-1.01
(주)세경하이테크,148150,2019/12,17.6,12.14,32.29,-36.18,3.18,14.95,6.83,268.98,-0.04,158.84,2.93,36.64,22.83,1.05,16.3,-14.82,27.7,16.95,2.23,30.84,6.16,72.3,24.41,502.42,2255.61,486.62,56.92,118.68,4.23,-43.07,12.75
(주)세동,053060,2019/12,0,-10.76,-14.82,0,2.67,3.89,56.41,0.9,1.77,26.37,3.93,12.69,14.89,1.36,-0.41,3.14,9.29,0,10.74,25.41,2.33,90.71,0,41.88,0,35.39,-47.46,1.35,1.46,0,-14.59
(주)세림비앤지,340440,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)세보엠이씨,011560,2019/12,91.41,-0.81,18.93,0,-4.45,-19.57,18.39,-9.3,0.06,1289.75,-9.49,114.91,127.52,2.31,25.31,31.92,-0.15,-3.25,20.25,61.9,20.33,100.15,94.07,171.24,2779.65,166.54,33.55,4.09,5.43,0,-1.87
(주)세영디앤씨,052190,2019/12,6.49,-883.25,-33.45,0,-233.78,-267.77,2.15,-1.95,13.11,-221.6,-16.78,0.15,-32.97,0.06,190.85,-37.86,-51.41,-67.24,9.35,282.91,0.48,151.41,6.69,704.79,156.07,704.41,36.8,16.2,0.23,0,-50.67
(주)세운메디칼,100700,2019/12,11.54,15.68,14.32,-2.03,17.16,94.38,0,58887.54,-0.49,166.99,9.77,13.8,24.02,0.61,30.47,3.76,30.71,10.43,2.84,4.28,4.24,69.29,11.54,586.89,2173.89,450.98,50.39,162.36,6.98,-12.78,9.52
(주)세원물산,024830,2019/12,37.86,11.39,16.87,125.87,27.19,33.01,2.39,78.2,0.09,51.09,11.04,27.61,22.36,0.44,40.51,32.73,19.28,7.2,8.32,6.52,0.72,80.72,50.23,82.28,4528.2,44.98,-4.47,7.94,1.42,312.69,4.98
(주)세종메디칼,258830,2019/12,5.2,19.09,7.07,-4.33,22.76,119.62,0.05,293.95,-1.87,58.97,7.48,4.79,20.05,0.34,-1.39,9.44,63.02,6.9,8.2,9.12,1.18,36.98,6.67,989.67,1365.4,903.79,43.34,108.44,5.68,-2.44,6.49
(주)세중,039310,2019/12,11.78,-3.62,-1.09,0,7.3,9.46,0.61,-19.28,-2.53,1141.4,1.03,0.99,10.74,0.14,7.04,-32.69,0,-0.58,22.99,0,13.62,0,12.26,529.3,621.49,529.3,45.04,171.23,1.23,0,-0.51
(주)세진티에스,067770,2019/12,3.78,-23.15,-6.47,0,3.96,30.55,0.13,-270.59,-7.13,15.93,1.13,2.58,2.72,0.28,5.62,-0.9,16.85,-6.63,7.58,77.36,1.37,83.15,3.84,1638.39,872.21,1628.06,55.94,161.68,7.39,0,-6.38
(주)세코닉스,053450,2019/12,87.75,-1.39,-8.89,0,-2.58,-5.06,33.62,1.36,1.03,58.59,-2.96,66.89,13.4,1.09,-23.27,-3.8,10.89,-3.76,3.87,6,4.72,89.11,141.05,137.26,2360.95,87.08,13.56,3.7,1.84,-53.83,-1.52
(주)세토피아,222810,2019/12,1149.55,-325.62,-4.23,0,-8.43,-2.12,61.37,-0.97,0,-14617.48,-1.97,4.37,-58.8,0.23,57.24,-17.04,34.78,-301.73,6.47,55.37,2.52,65.22,1295.61,78.92,109.54,78.87,-17.36,5.41,0.3,0,-74.35
(주)세화피앤씨,252500,2019/12,10.82,2.04,-4.77,-46.14,-0.51,-4.37,0.14,11.74,0.02,70.27,-0.51,14.09,26.79,0.97,-4.28,5.48,39.67,2.29,4.58,4.33,2.51,60.33,13.17,591.09,1256.07,399.06,46.96,112.41,6.85,-24.93,1.97
(주)셀루메드,049180,2019/12,767,-292.27,-18.5,0,-1.75,-0.64,61.76,-4.82,3.35,-675.58,-0.57,1.15,-81.88,0.29,-42.38,29.35,17.22,-254.27,2.47,2.95,2.31,82.78,844.93,39.32,34.36,29.94,-49.25,13.26,0.44,0,-85.31
(주)셀리드,299660,2019/12,1.16,0,0,0,0,-161.95,0.14,-627.75,-25.43,-11.28,-3.66,0,-2.16,0,0,0,0,-4.86,0,0,0,0,2.31,4523.33,1071.75,4523.33,50.35,280.48,0,0,-4.75
(주)셀리버리,268600,2019/12,7.64,-947.58,-22.8,0,-342.86,-198.89,0.54,-2083.78,-3.35,-833.61,-23.04,0.54,-38.4,0.06,-4.23,-54.04,-91.73,-62.3,5.95,70.71,1.45,191.73,13.1,1361.22,697.78,1361.22,85.17,59.75,0.54,0,-55.48
(주)셀바스에이아이,108860,2019/12,52.41,-11.4,-1.68,0,-4.94,-2.44,20.78,-3.16,3.75,89.11,-0.94,1.19,12.65,0.19,38.34,-15.86,0,-3.52,3.32,0,1.56,0,62.91,82.89,381.61,82.89,-5.5,29.07,0.49,0,-2.16
(주)셀바스헬스케어,208370,2019/12,64.88,-16.21,13.47,0,-7.41,-6.59,40.46,-3.38,3.57,35.91,-3.1,2.2,13.33,0.44,52.69,4.57,32.87,-15.88,5.14,3.27,1.1,67.13,88.85,140.92,229.84,113.29,14.06,79.15,0.81,0,-7.21
(주)셀트리온제약,068760,2019/12,53.26,5.52,4.73,0,12.14,10.98,34.37,2.99,3.05,39.43,4.45,10.13,15.9,0.38,-4.06,23.81,36.35,3.48,1.28,4.6,0.84,63.65,68.19,126.6,1642.94,104.41,8.42,7.19,0.93,329.02,2.07
(주)셀트리온헬스케어,091990,2019/12,53.2,5.29,-5.45,48.01,-13.5,-15.08,0.01,15.29,0.14,20755.82,-5.63,8.14,3.59,0.41,-6.87,23.51,14.93,3.58,1.63,0.85,3658.77,85.07,59.61,278.24,1207.49,139.41,59.42,22,1.01,884.15,2.14
(주)셀피글로벌,068940,2019/12,109.76,0.03,30.43,0,1.31,1.53,48.57,0.99,0.94,96.87,0.9,3.94,17.81,0.78,47.21,2.53,23.23,0.05,6.14,4.15,3.87,76.77,142.08,162.88,237.6,125.86,28.51,10.03,1.42,0,0.02
(주)소리바다,053110,2019/12,99.48,-68.17,-13.12,0,-15.2,-12.76,38.19,-2.82,2.94,-615.22,-6.74,0.79,-14.33,0.41,-29.52,0.35,0,-55.06,7.27,20.52,20.76,0,111.88,36.56,79.46,31.31,-29.78,1.09,0.84,0,-28.1
(주)소프트센,032680,2019/12,80.31,-3.55,-27.15,0,10.27,36.85,0.29,0.5,0.46,2583.8,16.43,5.7,9.08,1.35,-5.33,-28.9,8.52,-9.79,3.91,15.35,171.92,91.48,80.47,210.56,195,202.28,49.2,152.27,2.64,-82.27,-4.79
(주)손오공,066910,2019/12,103.35,-3.14,28.95,0,-1.62,-4.79,16.03,-6.59,0.43,101.81,-2.58,5.7,10.41,1.79,12.51,-26.85,17.69,-12.09,5.9,4.06,29,82.31,117.15,169.58,149.67,75.9,33.12,5.48,3.35,0,-5.63
(주)솔고바이오메디칼,043100,2019/12,49.22,-117.55,-27.63,0,-38.49,-30.91,29.41,-8.66,0.22,-152.03,-12.39,0.2,-23.59,0.27,-4.83,-10.99,28.96,-48.03,4.55,2.02,0.98,71.04,66.89,193.58,37.89,136.92,27.6,17.48,0.8,0,-31.78
(주)솔루에타,154040,2019/12,28.14,-8.65,-6.11,0,13.23,24.2,22.28,2.09,0.92,44.44,7.85,8.94,9.86,0.57,11,5.27,20.61,-7.55,6.44,12.52,2.89,79.39,47.99,156.06,983.19,137.51,10.66,66.78,1.68,-44.7,-4.97
(주)솔본,035610,2019/12,0.18,225.95,4,-30.72,-7.05,-9.43,0,999999999,0,2111.94,-0.15,0.23,4.88,0.02,-4.22,-1.87,95.02,4.94,0.99,0,0.97,4.98,1.6,5239.83,1071.64,5239.83,8.9,1812.82,1.04,-62.4,4.84
(주)쇼박스,086980,2019/12,15.33,4.26,-7.48,-34.48,-30.69,-98.16,1.18,17.24,-2.11,14465.47,-14.61,2.51,41.56,0.46,-19.24,14.77,13.52,2.38,7.36,0,119.24,86.48,17.48,514.54,449.32,514.54,54.1,27.72,2.51,-57.75,1.95
(주)수산아이앤티,050960,2019/12,3.57,18.14,6.35,-6.96,33.15,156.05,0.14,1784.85,-5.31,56.81,6.67,4.74,11.66,0.21,10.17,-1.65,0,3.9,3.57,26.29,0.96,0,4.46,1615.86,2255.47,1586.47,51.83,52.15,5.82,5.27,3.76
(주)수젠텍,253840,2019/12,64.82,-246.28,86.65,0,-91.57,-16.69,22.62,-16.01,0.43,-24.5,-7.74,0.63,-6.12,0.11,151.96,-29.43,0.18,-47.52,2.44,2.41,0.32,99.82,86.44,205.49,377.52,196.68,36.68,16.16,0.26,0,-27.11
(주)슈프리마,236200,2019/12,8.13,37.26,28.76,136.62,29.27,175.06,0.11,6097.55,-4.59,667.92,14.02,20,23.94,0.54,7.61,36.84,64.99,21.63,7.39,6.72,13.21,35.01,8.7,789.44,3811.18,681.13,51.57,134.05,7.53,108.92,20.08
(주)슈프리마아이디,317770,2019/12,2.6,10.28,80.08,-71.97,26.77,214.99,1.53,167.56,-2.17,345.02,7.87,11.46,9.1,0.38,106.95,-32.18,38.9,4.13,8.15,2.89,18.1,61.1,3.8,3406.95,2608.9,3032.88,82.73,564.24,6.42,-86.57,3.89
(주)슈프리마에이치큐,094840,2019/12,3.13,43.31,4.47,254.87,26.41,46.94,0.01,2365.22,-6.44,707.64,2.83,2.68,8.38,0.11,7.13,-1.49,38.15,5.02,12.09,8.48,9.83,61.85,6.42,1049.48,2346.01,1000.18,27.93,116.67,1.98,-19.69,4.74
(주)슈피겐코리아,192440,2019/12,9.81,16.88,16.14,4.95,8.94,56.99,2.88,160.19,-1.69,163.33,6.89,72.5,24.61,0.83,2.09,15.36,56.55,15.74,9.2,12.57,5.13,43.45,13.76,612.41,8261.53,527.38,44.19,140.46,7.47,-1.39,13.99
(주)스마트솔루션즈,136510,2019/12,43.75,-36.28,-11.14,0,-29.69,-43.35,23.44,-29.05,0.46,3.15,-13.38,6.33,1.15,0.42,-21.16,-22.1,20.69,-21.12,3.1,5.4,1.23,79.31,44.63,161.24,970.97,134.34,18.53,69.26,1.56,0,-15.38
(주)스맥,099440,2019/12,93.26,-10.71,3.35,0,-8.03,-9.26,41.72,-3.71,1.99,7.82,-5.08,10.23,2.34,0.64,-7.77,-5.88,9.99,-15.16,2.06,2.73,2.32,90.01,121.5,139.48,717.93,86.94,16.62,5.34,1.18,0,-6.89
(주)스카이문스테크놀로지,033790,2019/12,33.31,-214.86,-52.19,0,-81.2,-67.18,11.14,-39.7,-0.66,-83.29,-17.29,0.67,-36.94,0.14,-66.38,-60.36,12.22,-45.63,4.68,9.01,0.47,87.78,34.65,196.93,233.66,185.01,23.98,159.84,0.39,0,-29.6
(주)스킨앤스킨,159910,2019/12,25.6,-33.96,-6.17,0,-23.98,-44.51,13.24,-23.48,-0.3,-3.18,-10.45,1.64,-0.13,0.42,9.42,-0.51,7.39,-19.1,9.43,10.22,2.55,92.61,30.66,282.71,268.28,263.43,35.8,214.29,1.68,0,-14.32
(주)스타플렉스,115570,2019/12,71.86,-18.59,-3.66,0,2.45,2.49,41.97,0.51,0.65,19.58,1.31,22.45,4.55,0.53,-29.51,-6.51,11.5,-18.89,4.5,4.58,2.03,88.5,110.49,100.42,1992.31,65.25,0.14,5.63,1.09,0,-9.77
(주)스튜디오산타클로스엔터테인먼트,204630,2019/12,36.92,-36.18,-6.33,0,9.15,15.32,9.3,-20.31,0.46,-68.78,4.33,8.33,-9.04,0.46,7.55,52.46,0,-21.36,4.68,18.67,3.65,0,39.48,128.51,1259.94,119.78,7.55,78.29,2.05,0,-16.58
(주)스페코,013810,2019/12,63.07,8.87,2.28,0,19.37,16.35,18.37,4.15,-0.17,1415.35,7.08,4.27,9.45,0.37,5.52,-25.73,25.09,5.91,5.37,3.25,53.49,74.91,76.48,80.57,661.34,56.47,-6.94,21.52,0.83,0,3.28
(주)승일,049830,2019/12,21.55,-0.43,-4.32,0,3.39,15.21,4.79,-13.35,-0.3,31.71,2.71,44.56,16.05,0.78,-22.45,-9.53,4.89,-0.41,6.2,7.83,1.41,95.11,21.68,205.85,4582.82,152.21,18.74,59.09,4.08,0,-0.34
(주)시공테크,020710,2019/12,45.65,7.49,27.64,0,1.61,4.3,0.24,65.27,-1.54,128.08,1.39,11.44,19.82,0.97,34.74,73.93,10.89,10.01,9.88,0,5.55,89.11,47.71,178.39,896.07,178.39,24.22,49.14,3.53,0,7.26
(주)시너지이노베이션,048870,2019/12,55.57,47.66,21.45,-50.29,27.8,7.61,27.12,0.17,15.84,165.58,2.86,0.36,12.33,0.11,-56.62,-6.17,30.7,9.25,4.32,8.08,1.26,69.3,60.21,12.71,205.08,10.06,-30.28,1.1,0.27,-13.54,5.38
(주)시노펙스,025320,2019/12,41.98,3.47,11.4,0,7.35,14.4,12.64,0.33,0.55,69.28,4.96,2.7,10.26,0.71,10.51,-8.88,17.76,3.8,3.57,40.56,4.09,82.24,52.48,167.17,258.43,158.86,18.49,46.29,2.03,-92.84,2.47
(주)시스웍,269620,2019/12,3.47,12.65,29.9,-64.25,15.04,19.65,16.48,0.85,-3.41,122.57,4.14,7.49,8.65,0.31,11.23,-34.65,24.55,4.57,1.59,4.37,3.88,75.45,26.71,2010.93,2147.09,1769.47,52.26,1083.3,2.24,-92.23,3.94
(주)시큐브,131090,2019/12,18.41,28.49,14.03,98.26,25.64,78.62,0.46,805.02,-1.06,278.29,12.46,4.92,27.64,0.52,12.58,30.88,65.09,17.83,3.41,16827.03,5.67,34.91,18.84,516.77,829.91,516.75,64.57,305.9,3,119.78,14.76
(주)시티랩스,139050,2019/12,99.57,-95.58,76.65,0,1.69,0.73,46.12,-0.76,4.56,-235.02,0.39,0.95,-11.72,0.29,-15.86,-13.15,5.81,-53.25,11.84,0,4.71,94.19,114.65,29.56,156.21,29.56,-32.68,7.57,0.62,0,-28.15
(주)신진에스엠,138070,2019/12,17.69,6.32,9.85,-23.82,10.24,12.77,24.4,5.78,1,36.42,3.87,8.58,13.64,0.4,41.25,-7.31,19.06,3.46,3.74,2.65,0.98,80.94,43.4,347.17,1585.42,223.51,30.5,42.87,1.42,-21.78,2.5
(주)신테카바이오,226330,2019/12,1.55,-4977.8,0,0,-711.05,-178.72,0.8,-93.67,-1.28,-1144.47,-6.84,0.07,-41.56,0.01,0,0,0,-49.81,16.31,0,0.27,0,3.98,6401.48,701.04,6401.48,93.74,2414.01,0.25,0,-47.9
(주)신화콘텍,187270,2019/12,34.55,-6.55,0.28,0,14.57,16.37,32.59,3.88,0.94,-9.34,7.21,8.2,-4.19,0.5,-9.8,24.45,23.45,-5.39,3.66,9.49,1.18,76.55,78.7,191.22,927.51,162.58,17.64,31.26,1.25,793.87,-3.25
(주)심텍,222800,2019/12,537.38,-7.81,2.89,0,4.12,5.66,34.92,1.37,1.16,41.69,4.92,69.68,20.97,1.21,-5.14,6.21,10.94,-48.44,17.71,7.36,2.35,89.06,666.81,44.53,760.18,21.4,-38.87,1,1.51,-47.34,-9.46
(주)심텍홀딩스,036710,2019/12,9.08,-28.99,-7.44,0,1.55,0.54,6.91,2.08,4.19,95.33,0.05,0.2,1.09,0.03,13.18,-18.09,0,-0.99,15.14,0,2.24,0,10.02,17.26,576.18,17.26,-6.83,15.13,0.29,-61.52,-0.89
(주)싸이맥스,160980,2019/12,26.59,7.65,9.56,-53.93,16.62,32.99,11.37,17.18,-1.75,44.93,8.73,14.05,11.17,0.55,6.32,-39.91,19.12,5.49,7.27,3.31,1.93,80.88,35.95,222.52,1968.68,145.19,23.97,41.16,2.33,-64.57,4.2
(주)싸이토젠,217330,2019/12,6,-518.3,-13.35,0,-384.16,-170.88,4.22,-94.69,-4.53,-40.28,-15.57,0.28,-4.85,0.04,-29.3,-34.81,-23.37,-20.72,1.62,0,0.4,123.37,10.02,1328.5,636.15,1328.5,66.98,936.31,0.64,0,-19.5
(주)썸에이지,208640,2019/12,25.44,-288.82,-17.99,0,-290.4,-140.49,19.67,-10.91,-0.3,-14765.94,-31.29,0.35,-18.44,0.1,-22.47,4.92,0,-60.16,5.54,0,24.23,0,28.65,413.13,203.94,413.13,61.93,210.8,0.18,0,-28.04
(주)쎄노텍,222420,2019/12,66.53,-7.64,20.98,0,2.67,1.49,52.24,-0.18,1.84,10.01,0.88,7.06,5.77,0.36,-22.16,-13.99,22.59,-6.03,4.09,1.53,0.64,77.41,144.45,113.18,868.55,44.99,3.59,5.15,0.67,0,-2.77
(주)쎄니트,037760,2019/12,63.41,-0.45,2.1,0,5.95,8.1,38.32,3.17,1.81,40.86,3.61,4.02,11.26,0.61,11.89,-2.71,11.33,-0.49,6.51,7.4,1.86,88.67,80.53,68.23,366.66,42.35,-11.16,5.28,1.41,70.57,-0.28
(주)쎄트렉아이,099320,2019/12,37.55,11.36,21.14,85.53,25.46,64.4,0.02,299.36,-0.13,182.17,18.19,23.11,38.27,0.78,67.63,58.14,18.73,11.85,14.53,27.1,3.3,81.27,39.36,182.2,1744.57,166.99,22.15,56.47,3.14,97.84,8.89
(주)쎌바이오텍,049960,2019/12,2.92,20.19,-2.65,-56.71,30.12,416.63,0.08,3177.64,-2.51,57.46,11.82,9.36,15.76,0.39,-14.11,-27.22,74.93,8.14,4.92,17.98,1.43,25.07,2.92,2204.87,2318.11,2120.43,59.63,249.48,9.73,-68.02,7.82
(주)쏠리드,050890,2019/12,95.62,6.26,7.79,-18.9,1.84,2.11,22.43,-0.59,0.24,100.33,1.11,6.34,11.88,0.62,15.59,-0.17,24.87,8.48,3.36,8.63,5.36,75.13,109.9,94.51,491.82,78.89,-2.5,35.26,1.15,0,3.9
(주)씨씨에스충북방송,066790,2019/12,19.91,-6.97,-7.68,0,16.89,40.7,7.88,1.39,1.89,30.24,10.42,0.46,16.9,0.59,2.64,-3.3,25.88,-5.77,18.48,0,0.99,74.12,34.41,190.62,53.32,190.62,13.42,30.45,2.08,0,-4.13
(주)씨에스,065770,2019/12,21.47,-1.06,-16.2,0,3.88,23.44,0.63,-71.33,-0.6,166.22,4.58,3.41,15.79,1.08,-19.65,-45.24,14.86,-1.53,8.26,5.53,11.51,85.14,24.29,456.84,232.43,377.39,61.65,14.07,4.22,0,-1.14
(주)씨에스에이코스믹,083660,2019/12,68.44,-12.95,-25.55,0,-4.56,-22.95,8.5,-25.45,0.27,99.03,-9.5,5.79,5.68,1.78,-42.6,-8.42,45.95,-37.32,7.1,6.57,15.93,54.05,70.69,137.59,163.01,64.12,15.08,27.15,4.63,0,-23.01
(주)씨엔플러스,115530,2019/12,49.01,-39.45,-46.74,0,-17.67,-41.33,11.79,-0.23,4.84,-309.8,-14.6,3.18,-13.09,0.57,-17.83,-31.47,17.2,-45.98,2.08,7.89,1.74,82.8,54.63,168.07,213.14,146.98,21.57,2.02,1.13,0,-22.66
(주)씨엠에스에듀,225330,2019/12,127.19,5.32,8.57,-12.96,20.86,26.42,37.03,7.65,0.87,80.36,16.57,8.31,34.29,0.83,5.14,17.86,0,10.63,32.76,113.46,1.98,0,168.2,22.47,389.81,20.95,-36.77,5.32,1.41,30.97,4.4
(주)씨유메디칼시스템,115480,2019/12,87.63,-7.14,15.04,0,4.75,7.08,40.66,0.08,5.17,73.85,3.47,8.06,5.73,0.78,10.32,0.32,14.95,-10.37,5.21,6.26,9.03,85.05,96.32,87.44,524.14,61.9,-5.61,15.39,1.69,-41.54,-5.58
