,회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),총자본순이익률(IFRS연결),영업이익증가율,순이익증가율,매출액,총자산영업이익율,총자산부채비율,log총자산,순이익률,현금비율,이자비용/부채,자기자본비율,고정비율,매출액대판매관리비,유보이익대총자산비율,통계청 한국표준산업분류 10차(대분류)
143,(주)마이크로컨텍솔루션,98120,17-Dec,8.29,-14.28,-7.72,2.67,16.54,1.36,-119.78,-0.68,28.65,1.74,6.5,9.78,0.63,-4.14,-0.8,8.21,-9.24,7.46,6.42,1.91,91.79,11.79,739.31,882.77,622.14,47.39,125.37,6.68,-8.96,-175.91456866353607,-1442.5717977541576,27006640,-0.04151366552877156,0.10545193581237698,7.615788680753995,-0.08964813504609052,0.09292200247661013,0.0036883099724286023,0.894548064187623,0.4520248284974246,0.1482602056383171,0.788492950298703,제조업
144,(주)마이크로프랜드,147760,17-Dec,12.42,10.98,1.56,8.48,52.73,3.81,96.88,-0.51,146.73,7.59,9.35,33.5,0.9,-14.56,12.09,24.38,12.21,37.53,3.03,4.81,75.62,16.8,623.35,887.97,316.26,55.66,280.33,4.75,9.89,16.53869103365617,18.41496550974097,50189558,0.11319614960296931,0.14386369811214497,7.749048279586422,0.09894947332948849,0.29815106778907213,0.006153592084539132,0.8561363018878551,0.3370249007169445,0.11822423301675619,-0.02314252446065199,제조업
145,(주)마크로젠,38290,17-Dec,74.77,9.11,12.03,18.07,22.02,22.43,1.4,1.29,123.99,10.29,22.13,27.43,0.6,29.96,11.72,33.07,10.78,4.54,6.72,2.43,66.93,87.77,176.37,1999.27,154.08,30.41,61.32,1.28,5.48,-3.88565985864424,109.49870791461868,101792522,0.017853114275352206,0.467436049459216,8.252142541208382,0.05484554257232256,0.24424603296510347,0.02719069872088039,0.5325639449450449,0.2976926999364022,0.30106112313436934,0.20786409843281142,"전문, 과학 및 기술 서비스업"
146,(주)맘스터치앤컴퍼니,220630,17-Dec,37.05,4.7,39.95,2.71,13.55,22.66,22.34,0.2,106.56,6.19,25.88,35.83,2.67,37.52,18.64,28.25,22.49,42.67,19.17,7.44,71.75,84.04,263.98,606.35,202.53,33.02,61.77,6.02,12.53,-8.490440351830706,25.81958701233955,239567842,0.17212374253681068,0.4566353551633937,8.020288192361342,0.12530542329849292,0.12436088958634299,0.017393102906404327,0.543364654380197,0.4685015600526058,0.21794777865052523,0.2892158646086664,도매 및 소매업
148,(주)매커스,93520,17-Dec,76.94,10.38,5.69,3.31,7.64,3.24,39.96,0.11,444.58,3.41,10.81,21.87,1.06,4.36,29.0,22.68,20.63,6.5,14.54,15.54,77.32,80.75,205.52,586.16,191.91,44.92,47.0,2.26,10.98,214.8098480159549,479.1153465159991,87364783,0.1330145697092127,0.44675598735843225,7.928806880278882,0.10978195000221715,0.20006466754150654,0.007125055315432407,0.5532440126415678,0.12520937869030732,0.10104332314314797,0.42327422401159187,도매 및 소매업
149,(주)맥스로텍,141070,17-Dec,94.93,-5.87,5.34,3.77,2.92,39.3,0.62,4.7,24.23,1.74,3.02,12.55,0.47,59.96,-3.59,12.93,-6.67,4.08,23.78,0.77,87.07,148.05,106.19,261.14,102.59,2.37,19.82,0.81,-2.78,377.4708369302964,74.11208809841423,38651323,0.015523958639643043,0.5968617920063255,7.922223181347409,-0.02784372212531785,0.07584859077375146,0.042886543256631764,0.4031382079936745,0.5936193942881697,0.09658347270544917,-0.07537303512133631,제조업
150,(주)멀티캠퍼스,67280,17-Dec,30.89,6.18,7.9,10.78,70.29,0.0,999999999.0,-0.31,2052.41,18.56,67.9,81.19,1.79,24.46,7.91,29.4,15.29,8.2,0.0,40.2,70.6,35.87,265.5,2839.16,265.5,37.62,82.44,6.57,11.04,-15.269352250410105,-3.6253637815031543,201225659,0.13410550272082075,0.2640002356207845,8.067939532081976,0.11037721565193094,0.18740671045634022,0.0,0.7359997643792154,0.3964693501375742,0.2189542040461152,0.9021631043318863,교육 서비스업
151,(주)메디아나,41920,17-Dec,14.63,7.65,2.97,9.99,57.76,1.94,178.23,-0.05,183.88,9.36,12.11,31.46,0.95,-5.16,-1.93,33.87,8.94,5.15,4.63,4.05,66.13,19.33,470.06,1083.02,305.6,45.38,131.07,5.09,7.27,-27.90706163199,-49.65831357762278,52362747,0.11220894719619529,0.16200912250990437,7.747406439382992,0.07268648511013864,0.16073620874275923,0.0033683999124419963,0.8379908774900956,0.4235529279977325,0.22066090230140142,0.5617349223404533,제조업
152,(주)메디콕스,54180,17-Jun,104.08,-80.78,16.37,7.32,3.24,62.71,-0.24,3.15,-17.68,2.12,1.47,-14.28,0.31,164.43,-17.91,8.31,-63.44,28.34,36.91,0.42,91.69,189.21,44.93,174.87,42.94,-19.82,39.26,0.52,-25.19,-112.675294012355,-1351.8699930758903,16025310,-0.004629994491845398,0.6542337334992047,7.74254114938572,-0.2519045126586951,0.1412716973905295,0.03229750388973829,0.34576626650079534,0.8383326116895297,0.09790893280691607,-0.041557710030458106,제조업
153,(주)메디톡스,86900,17-Dec,67.11,40.37,20.09,31.39,30.85,29.36,43.71,1.74,80.43,14.62,64.08,30.69,0.51,50.37,36.01,80.91,42.17,5.34,19.61,1.08,19.09,90.09,75.08,7065.73,66.63,-8.8,19.21,1.0,20.52,19.93786773633949,23.52768025943163,181239191,0.25284536460643137,0.47392784905121194,8.590093960708101,0.20519022676302315,0.06939197142235425,0.011436079158518898,0.526072150948788,0.7349103720209214,0.3116757677427505,0.6022782323074726,제조업
154,(주)메디프론디비티,65650,17-Dec,3.17,-54.77,-5.44,-5.55,-77.73,0.0,999999999.0,-0.27,-145764.42,-4.42,1.49,-38.63,0.77,116.84,59.66,11.68,-45.51,19.62,6.56,2291.93,88.32,6.04,2613.6,168.14,2193.62,75.21,433.17,11.38,-42.42,203.11250636701007,-189.09900166767392,20910434,0.017815820320287702,0.056919067633310075,7.419024501906478,-0.4241693486514682,0.13407177945337362,0.0,0.9430809323666899,0.21793395785482106,0.093807952527432,-1.1706246756836487,도매 및 소매업
155,(주)메지온,140410,17-Dec,38.54,-266.42,-22.8,-172.68,-46.22,11.04,-6.08,7.32,-1325.7,-13.03,1.35,-15.41,0.07,-25.15,-36.17,16.09,-28.08,3.93,2.17,10.5,83.91,39.25,344.02,1274.69,330.67,67.54,156.48,0.17,-17.51,-133.3241460157466,-14.610246659500776,5585880,-0.19826409150038388,0.28186563457734076,7.869454889744893,-0.1751440345956307,0.43312843954963903,0.08664638421011601,0.7181343654226593,0.04777875253200936,3.1767336570065954,-0.06921936719120966,"전문, 과학 및 기술 서비스업"
156,(주)메카로,241770,17-Dec,13.33,30.34,200.82,17.5,94.79,0.36,150.03,0.15,252.68,13.29,23.87,39.61,1.14,393.64,120.3,52.83,44.76,16.11,7.75,4.8,47.17,16.31,717.08,2416.41,615.64,70.71,557.51,5.03,34.61,1300.1507981686073,999.7386304948864,106038329,0.4666510827668933,0.1402563857146585,8.14477127343604,0.3460536283366385,0.6388587978069938,0.013705903958483904,0.8597436142853415,0.1782918109840814,0.11908425112960805,0.33346137080121213,제조업
157,(주)메타바이오메드,59210,17-Dec,117.46,-6.08,-0.34,3.66,3.3,50.12,1.3,2.35,38.9,2.0,5.97,14.5,0.55,-6.67,-0.67,31.69,-8.41,5.32,4.32,1.38,68.31,153.12,78.53,420.69,52.18,-9.96,9.85,0.94,-3.31,-41.97062647536605,-630.5496530861642,65341014,0.01946581630631326,0.6049237837027059,8.077966277754694,-0.033139560735208545,0.045734173989617544,0.025610119267576153,0.39507621629729406,0.6355681017906349,0.28117079725759997,0.05890979049379458,제조업
158,(주)멕아이씨에스,58110,17-Dec,13.16,-22.77,-9.15,-18.43,-10.68,60.4,-1.78,5.26,24.09,-6.97,3.21,12.68,0.36,-17.62,8.61,41.38,-21.98,5.07,3.25,0.71,58.62,188.0,794.99,293.6,538.75,31.75,341.89,0.57,-8.2,30.827536404353378,-8.099780269746201,8602502,-0.042824421241753834,0.6527755634023348,7.356844046769307,-0.08200545424044223,0.15616868032906758,0.03839888471696391,0.3472244365976652,0.6368621796272632,0.5327079261359079,-0.0809995477251136,제조업
159,(주)멜파스,96640,17-Dec,73.98,-56.48,-21.0,-2.7,-2.95,36.55,-16.5,1.64,-86.28,-1.25,5.25,-18.6,0.41,-20.08,-32.98,-19.73,-38.47,7.12,3.83,1.46,119.73,74.14,81.27,650.48,71.86,-7.96,2.62,1.03,-23.13,-2997.407211350355,-2450.256296763261,55841452,-0.2030643969569251,0.42573441417745517,8.080596565021224,-0.23125300378860963,0.011148542169080502,0.030856958089326186,0.5742655858225448,0.654754893619955,0.2986663742196388,-0.2112615399873272,제조업
161,(주)모다이노칩,80420,17-Dec,88.93,12.48,11.44,19.34,16.56,30.89,5.33,1.63,45.95,9.2,15.64,19.61,0.5,8.56,70.32,63.9,14.03,6.35,6.78,1.2,36.1,125.07,92.31,1428.2,74.58,-3.04,21.62,0.89,6.26,105.29353300210444,79.3009810485169,311755063,0.0818967084387686,0.5557003038147823,8.816319679425817,0.06262130274697034,0.08541603961063382,0.027246447914417892,0.4442996977116597,0.6352604400614581,0.475774887415381,0.2669455666583489,도매 및 소매업
162,(주)모두투어네트워크,80160,17-Dec,89.13,8.32,60.78,12.01,19.74,13.45,66.09,-0.37,498.43,10.33,36.95,33.21,1.06,38.09,22.72,96.25,20.56,7.88,2263.57,13.11,3.75,109.87,145.28,1410.83,145.19,19.23,36.99,2.03,8.82,59.58296269897389,52.36594923262419,290948152,0.11710861129156433,0.5235218686378595,8.529225137681049,0.08820707380379172,0.15710651592870997,0.003390952617051184,0.4764781343186199,0.38299113552266983,0.8520702444606006,0.3351863501804313,"사업시설 관리, 사업 지원 및 임대 서비스업"
163,(주)모바일리더,100030,17-Dec,7.18,7.32,-5.87,16.64,103.47,0.0,999999999.0,-4.44,5891.45,6.94,8.13,32.01,0.4,-22.19,-0.56,38.67,3.09,3.75,0.0,81.75,61.33,7.18,596.08,1801.71,596.08,33.25,90.7,6.12,2.96,-29.55925065349985,577.8086145648313,13343523,0.01762900931007503,0.06703225088544938,7.50541613283683,0.02958769408129665,0.060796073856848445,0.0,0.9329677491145506,0.6004366947924455,0.34309424879771255,0.7294864270237835,정보통신업
164,(주)모베이스,101330,17-Dec,20.35,4.8,1.11,9.96,73.45,0.9,65.08,-0.01,80.96,12.75,36.1,31.29,1.29,-1.13,12.39,16.27,7.73,10.94,15.44,2.82,83.73,21.01,270.21,2054.47,220.31,28.63,91.74,7.63,6.18,-30.472671240959432,-51.190052648351184,320774245,0.09395531561130137,0.173600633474408,8.398714287024706,0.0617950107047931,0.15427529023529485,0.008557845309530663,0.826399366525592,0.5455685340496487,0.0897275683713323,0.7667242008009164,제조업
165,(주)모베이스전자,12860,17-Dec,230.1,-6.13,-10.8,4.87,7.89,47.63,-1.6,1.13,54.47,6.0,52.61,20.55,1.16,-18.82,-2.86,5.02,-27.13,4.58,7.14,2.92,94.98,317.78,82.62,937.67,52.22,-9.57,4.1,1.59,-7.13,-187.9619978682844,-350.69682849800654,710241532,-0.023344870104242414,0.7606396046839023,8.760539056241463,-0.07128885024781151,0.02259072013358636,0.019966070369532744,0.2393603953160977,0.5449893338529623,0.070278006496528,0.13509771673621715,제조업
166,(주)모비스,250060,17-Dec,1.9,-114.21,0.0,-35.32,-85.39,0.0,-86.58,-1.69,-1558.36,-4.68,0.85,-18.08,0.13,0.0,0.0,35.79,-16.01,121.92,60.78,11.42,64.21,5.8,3961.7,603.82,3949.54,69.24,584.92,2.42,-15.13,0.0,0.0,2389536,-0.18247217895958823,0.054811397588362606,7.256105358390203,-0.3026386239037155,0.10487513080446911,0.03845021593345062,0.9451886024116374,0.2896690752284836,1.0465023335074257,-0.009202391054682145,정보통신업
167,(주)모헨즈,6920,17-Dec,137.87,2.08,4.48,3.5,7.9,8.62,12.03,0.09,57.67,4.94,21.49,20.04,1.44,7.42,4.55,7.16,8.64,4.66,10.96,4.07,92.84,167.05,109.78,376.57,83.93,5.05,19.55,2.27,3.0,-27.723999070703943,33.02294274868973,117339016,0.032987243715981766,0.6255393492998076,7.92048018848844,0.030002343797920192,0.10091809864857007,0.004332200010319886,0.37446065070019247,0.4332051966800272,0.04873374769053799,0.1318918796488377,제조업
169,(주)미래생명자원,218150,17-Dec,19.5,-4.89,0.0,10.22,66.44,13.11,21.9,0.02,-11.64,13.51,23.93,-1.36,1.32,0.0,0.0,14.87,-8.11,7.73,13.79,7.54,85.13,25.53,516.62,1442.2,454.91,64.73,315.92,6.5,-6.46,0.0,0.0,40926676,0.0979453447650813,0.20337940218204406,7.4908055530391335,-0.12923170581396942,0.4908132756216278,0.021986779409445562,0.7966205978179559,0.1973850858427598,0.11165170120339116,0.48958450956979527,제조업
170,(주)미래컴퍼니,49950,17-Dec,64.74,15.52,65.39,10.43,28.77,6.09,201.42,0.03,211.74,11.5,47.37,36.99,1.37,117.25,125.64,34.97,33.11,7.29,20.63,6.27,65.03,66.57,189.73,2580.56,170.83,34.87,61.41,3.86,21.32,552.3596320927624,284.81845254115075,181450622,0.2818920070506141,0.3996536806790825,8.216558108218859,0.21323226643561288,0.23866019530986063,0.003931823147879329,0.6003463193209175,0.2626204986528129,0.14443281985553072,0.4680062041210487,제조업
171,(주)미래테크놀로지,213090,17-Dec,28.4,21.89,0.0,15.41,13.49,0.0,999999999.0,-2.45,1006.07,3.44,7.31,8.1,0.22,0.0,0.0,34.84,8.58,0.91,19.33,27.67,65.16,34.16,223.2,1864.88,217.76,26.08,60.61,0.88,4.88,7.854333141115413,20.795243440610854,22362965,0.06230200712808305,0.2545996147721998,8.001456597309975,0.06619158865759708,0.1283153954469184,0.0,0.745400395194317,0.5274508320083099,0.1423250450018591,0.2511327918066302,정보통신업
173,(주)미코,59090,17-Dec,49.09,10.37,21.03,12.7,27.4,18.79,13.12,0.89,109.49,11.56,12.39,48.43,1.0,25.75,30.48,45.6,14.74,7.92,13.91,2.06,54.4,72.94,158.68,407.08,138.19,16.66,87.97,2.12,10.33,56.18891450762135,239.68814124487005,183916090,0.1577536038560139,0.42176819593839104,8.305528443792221,0.10334813549892626,0.2501938046275366,0.02560825594431611,0.5782317991131319,0.5495610062545879,0.297699271444929,0.03371884806304091,제조업
174,(주)미투온,201490,17-Dec,57.25,11.24,215.63,7.25,2.35,17.59,11.43,0.3,3504.83,1.32,1.78,6.18,0.28,29.25,59.65,55.49,4.93,4.32,0.0,108.96,44.51,128.05,134.34,363.71,134.34,8.62,95.52,0.63,3.11,-3.905107672961032,-1.265290119892367,27209665,0.029640488276853953,0.5615041745739783,8.174406403932228,0.03107628754330774,0.23978990812285106,0.0059538822741639795,0.4384958254260217,0.662732497983743,0.4477226382610738,0.05134512198797157,정보통신업
178,(주)바이넥스,53030,17-Dec,23.11,-14.76,-5.27,7.65,17.21,15.36,-3.9,1.67,19.11,3.56,4.99,10.38,0.45,11.68,-4.97,36.4,-8.35,4.83,7.75,0.84,63.6,26.06,175.88,831.18,141.37,13.91,36.72,2.23,-6.68,-311.08323538094675,-291.4757981742423,78026380,-0.043767764254765286,0.2067286405667889,8.22472483495022,-0.06679857509621634,0.06731929513683843,0.055242212649274335,0.7932713594332111,0.6775946208802662,0.46072148932194473,-0.09276487234010443,제조업
179,(주)바이오니아,64550,17-Dec,74.43,-42.73,-7.87,-13.78,-10.16,32.17,-5.88,2.88,21.61,-5.46,2.53,7.17,0.38,17.5,7.21,58.52,-37.33,3.26,2.78,1.19,41.48,116.22,134.18,263.24,90.08,11.77,21.58,0.67,-16.24,47.46603989604173,31.053826610598623,23267735,-0.10342468262498612,0.5375138611773244,7.768604148005976,-0.16243263063130833,0.07427972520713758,0.031134416118842677,0.4624861388226756,0.5381274696244993,0.8572237048427791,-1.5701045010145682,제조업
180,(주)바이오로그디바이스,208710,17-Dec,24.07,4.91,21.43,7.25,23.09,21.57,9.96,0.88,100.65,7.94,25.55,38.3,1.2,21.25,2.05,21.51,8.77,3.87,26.86,2.93,78.49,52.43,319.25,1542.88,284.71,34.63,123.36,3.68,5.9,-14.960912415856225,-47.14552633136345,70020158,0.1142001305546531,0.34396592196871345,7.805659941195693,0.05899622191065337,0.19482431874606942,0.03517745819003801,0.6560340780312865,0.4958010923415836,0.12001523904016326,0.40905220154788047,제조업
182,(주)바이오스마트,38460,17-Dec,40.82,5.11,0.51,-3.04,-4.97,24.48,2.74,1.55,138.96,-2.17,9.16,22.62,0.72,1.13,27.69,26.8,7.79,9.3,5.01,3.83,73.2,77.4,138.22,731.95,70.84,8.79,21.63,1.55,3.65,322.4012739286954,912.7770673908656,80432645,0.03863876731385035,0.4362866836408184,8.052060055852381,0.03651537641378035,0.04998899457733456,0.030543965403411474,0.5637133074888482,0.6819683702715601,0.21397809309889038,0.10919420347838771,제조업
183,(주)바이오톡스텍,86040,17-Dec,72.94,4.6,24.5,22.12,19.82,25.59,4.47,1.7,69.56,9.46,3.53,23.68,0.47,-19.41,14.86,35.68,5.44,7.69,28.36,1.21,64.32,91.32,57.77,366.61,53.62,-16.1,30.99,1.0,2.18,-0.762913382859286,1.358860088441414,25564709,0.040556497545069535,0.477322091087674,7.776486903397918,0.021819967039964947,0.11889076989850278,0.01916369826670134,0.522677908912326,0.7797639042750553,0.2713097575255013,-0.03437499989543337,"전문, 과학 및 기술 서비스업"
184,(주)바텍,43150,17-Dec,39.48,38.25,-17.61,19.02,33.87,16.81,22.69,0.75,123.87,12.95,29.46,24.6,0.61,-44.81,-8.19,47.97,46.14,3.59,3.88,2.74,52.03,61.87,176.38,2639.28,111.17,18.63,26.09,1.71,23.52,-13.781771298328024,151.1303870589658,218808934,0.10981405870677566,0.38220201732380554,8.507156064387585,0.2352026808600011,0.06364134268628871,0.013452574832908924,0.6177979826761945,0.5698372657507154,0.30107823659522054,0.5610015178537862,제조업
185,(주)배럴,267790,17-Dec,11.37,11.32,0.0,11.41,74.53,10.49,30.8,0.59,887.07,22.32,12.94,55.08,1.96,0.0,0.0,70.45,31.61,22.96,6.22,31.5,29.55,42.74,1056.4,463.36,661.5,76.17,511.34,6.53,22.15,24.379016875766464,7.594129785264029,35286005,0.353876750498227,0.29944187792627697,7.256205380366914,0.2497211722971121,0.4072230014725003,0.03396574970265696,0.700558122073723,0.15870467648843548,0.5440877197631185,0.67878438730583,제조업
186,(주)백금티앤에이,46310,17-Dec,80.72,3.1,14.72,-2.25,-5.87,36.68,4.84,0.85,663.28,-3.09,14.25,22.51,1.46,24.12,69.39,23.54,9.12,6.16,7.74,37.15,76.46,110.74,166.12,477.84,101.96,25.33,18.42,2.76,4.54,356.5041945275736,261.958075895867,101998708,0.08242889770113676,0.5254817627051187,7.872348666302988,0.04535641594010352,0.07055589099976117,0.0320992964935223,0.47451823729488135,0.363711523743486,0.17899918889168676,0.04701679098943151,제조업
187,(주)버킷스튜디오,66410,17-Dec,14.19,4.95,2.92,6.9,36.58,0.0,60.48,0.02,101.75,4.55,0.52,13.81,0.67,-4.71,-10.38,36.34,3.78,19.0,226.79,4.69,63.66,14.19,197.9,69.42,195.86,12.17,41.6,5.33,3.31,758.4406031629276,1315.4755912489754,16096172,0.028320525476880697,0.12426527204478408,7.388185813226368,0.03305916920319788,0.051698805658242857,0.0037388670553630625,0.8757347688637754,0.7540786447419696,0.32101750652266886,-0.3241134440171682,정보통신업
189,(주)베셀,177350,17-Dec,96.02,6.22,28.16,5.46,8.4,26.74,20.69,0.58,139.05,4.51,14.41,17.46,0.93,35.35,83.27,28.37,11.44,2.57,0.0,6.67,71.63,115.75,153.75,808.92,153.75,23.92,20.34,1.87,5.77,373.6832340551381,19.718369396924476,80643961,0.1186419575277602,0.5365101300622347,7.989754744620874,0.05765873434905556,0.09052538313996283,0.011561392289392187,0.4634898699377653,0.31574063180275913,0.15575767663495596,0.2685696750021407,제조업
190,(주)보광산업,225530,17-Dec,19.1,21.69,3.0,30.29,39.95,18.22,14.44,0.42,42.3,14.09,2.93,22.02,0.47,20.72,-11.86,31.46,16.14,7.05,23.06,0.88,68.54,54.46,275.44,339.58,259.62,21.69,83.85,1.29,10.24,-20.001369851078728,-10.658645323008328,42039497,0.10410003642889842,0.35259690488082274,7.95618026772116,0.10236207276289964,0.10368174256843264,0.01971331372893859,0.6474030951191773,0.6594211193181637,0.09403083485989377,0.38526442155381957,제조업
191,(주)보라티알,250000,17-Dec,28.82,18.13,0.0,15.3,47.25,13.53,65.84,-0.47,146.97,10.58,12.46,23.58,0.69,0.0,0.0,43.02,16.15,7.08,4.63,4.31,56.98,28.84,364.72,1399.33,297.9,59.21,4.2,3.09,12.53,7.826593845493234,2.977089269605445,42068055,0.20844848711130345,0.2238281810199694,7.784282143306636,0.17344814443735798,0.009397232719144707,0.011013993219882006,0.7761718189800306,0.1842531531836357,0.21227755835158055,0.26420977522217015,도매 및 소매업
193,(주)부-스타,8470,17-Dec,20.28,5.87,2.0,3.9,20.14,0.0,999999999.0,-0.18,137.73,3.65,18.79,18.47,0.94,-5.12,-8.53,18.02,6.86,5.33,9.31,6.78,81.98,22.11,329.32,1647.52,246.68,38.09,117.03,4.9,5.54,-49.07445288485059,-26.032638338574333,78949525,0.039494136348546656,0.1810405145310382,7.927066497030616,0.055371753626652684,0.19440217689848033,0.0,0.8189594854689618,0.45294723160269973,0.1383301799472511,0.6712332649498063,제조업
194,(주)부방,14470,17-Dec,33.34,-0.47,-0.39,4.26,20.23,1.87,-14.91,-0.11,41.15,5.96,16.21,18.28,1.4,-6.59,49.15,32.93,1.29,9.57,14.25,3.1,67.07,41.75,154.4,675.83,114.24,12.79,33.42,4.74,-0.66,-133.06397473638475,-118.13320481410496,383330726,-0.014010763199397078,0.29451497381521813,8.437880067876184,-0.0065956835740194454,0.07859427165441221,0.0031942570071704503,0.705485022536235,0.6368673302025931,0.3393708648338302,0.3966361083594784,"전문, 과학 및 기술 서비스업"
195,(주)뷰웍스,100120,17-Dec,8.52,15.89,5.92,15.69,167.63,0.26,2866.93,-0.15,158.03,14.08,24.69,36.83,0.92,6.96,5.25,50.29,16.6,5.26,5.6,3.87,49.71,9.17,918.0,2522.85,717.02,63.86,347.14,7.93,14.66,-6.0083292546614615,-27.000078708056563,123460627,0.2140215177991709,0.08398143814349061,8.138748415575662,0.14661381292646938,0.2710196945479743,0.0006418179822066439,0.9160185691217765,0.28331123323847485,0.2709181608157555,0.8293402202446827,제조업
196,(주)브리지텍,64480,17-Dec,19.5,-12.04,-17.09,26.25,89.99,0.0,999999999.0,-0.83,3801.98,15.28,4.89,21.46,0.53,-44.27,-45.28,-1.04,-7.89,2.86,56.31,76.24,101.04,20.46,321.84,697.55,314.16,35.91,156.43,2.71,-6.35,-158.20243578030082,-145.85621728459063,30211608,-0.08291839331904964,0.16981763278489284,7.715129801048584,-0.06354339898021096,0.253180891634714,0.0,0.8301823672151072,0.47910063976245193,0.14674730322199334,0.6073472403548115,정보통신업
197,(주)브이원텍,251630,17-Dec,43.33,28.4,175.79,28.46,41.34,0.47,1543.8,-2.31,2235.19,12.51,11.72,18.42,0.65,198.4,58.33,50.18,25.67,6.67,3.36,34.39,49.82,43.39,295.51,1664.41,220.86,59.08,40.91,2.25,18.32,72.31652313132902,38.00062539746117,38720628,0.2569227226303059,0.3026082825635717,7.944975164047428,0.18322807690688095,0.1236296103072776,0.0005817011798302206,0.6973917174364282,0.1069943831572288,0.10358514846401769,0.34757595328001073,제조업
200,(주)블루콤,33560,17-Dec,8.32,2.69,-9.0,15.52,122.75,0.0,932.47,-0.71,66.25,10.06,12.15,20.53,0.62,-14.39,-51.17,23.68,1.86,8.89,8.43,2.1,76.32,8.92,811.63,1720.93,727.61,54.33,366.23,5.85,1.66,-56.98763906981596,-86.55747718464028,116599132,0.06149703738597906,0.08192019767198383,8.255153395573393,0.016631180015278146,0.2796001559094205,0.0006246622003110372,0.9180798023280162,0.3803635985957038,0.13716505196625306,0.7216595006275054,제조업
201,(주)비덴트,121800,17-Dec,8.42,274.88,75.55,-8.44,-8.47,9.5,-6.15,2.69,1016.97,-1.23,2.49,48.96,0.19,42.36,-0.26,27.46,68.9,10.14,2.13,2.79,72.54,17.04,365.63,1321.08,258.93,19.1,139.3,0.72,51.19,-11.534374232215958,400.6445891905882,23931470,-0.05016613878804254,0.14558773050160595,8.214129954117672,0.5119428555192669,0.10017115428329303,0.03175173024864798,0.8544122694983941,0.7370722820978686,0.5439336572304166,0.4116228204033505,제조업
202,(주)비보존헬스케어,82800,17-Dec,123.79,-10.93,-13.24,4.01,12.07,28.41,-7.38,0.67,60.55,6.73,3.22,5.85,1.56,-8.62,-10.54,1.15,-34.33,7.62,4.35,13.38,98.85,126.12,140.24,84.87,75.29,22.03,8.02,3.09,-17.02,-1124.070108263227,-274.3343798211988,61021493,-0.12777910171479512,0.5577601426195352,7.561155667066651,-0.1701690766467655,0.043895721825980547,0.034334904900604854,0.4422398573804648,0.2322429201844275,0.09357222708398825,-1.8565517222435108,제조업
203,(주)비씨월드제약,200780,17-Dec,23.84,16.06,0.0,15.73,21.42,22.61,34.25,0.56,49.59,6.68,34.34,17.85,0.42,0.0,0.0,48.27,9.95,2.47,3.5,0.69,51.73,45.27,210.86,5556.44,137.0,18.19,19.78,1.36,6.82,28.406473329948334,24.5634863575828,50207424,0.08264063681899422,0.31164701747249296,8.073135803640323,0.07510839498050022,0.03246224020713673,0.008719539143344992,0.688352982527507,0.6539859189307389,0.30599056426396226,0.4001173471730946,제조업
204,(주)비아트론,141000,17-Dec,27.35,12.08,8.36,10.39,34.14,0.0,999999999.0,-0.55,122.39,7.53,16.64,16.37,0.75,9.04,31.89,29.34,11.73,26.08,1261.9,5.39,70.66,28.28,382.17,1790.94,381.96,60.16,140.46,3.36,9.1,48.50790393879581,-7.87262879603059,100780806,0.15562163993735362,0.22046241034530156,8.143526678516551,0.09096957624046957,0.2994804515721919,0.0,0.7795375896546984,0.18513887449339603,0.08678172309913854,0.4283264338442646,제조업
205,(주)비에이치,90460,17-Dec,167.55,6.71,67.34,4.31,8.12,32.63,11.72,0.97,98.56,5.74,58.96,30.88,1.67,117.77,85.87,15.96,35.84,6.3,11.05,4.47,84.04,240.28,131.33,977.03,108.39,15.43,32.55,2.42,11.17,393.73190312359753,289.3219922560773,691341627,0.18239064930276044,0.7061264425338436,8.715841289825308,0.11170361584936446,0.16029151390983745,0.022607597117033335,0.2938735574661564,0.3533377381048401,0.05007564371644585,0.2020530170792449,제조업
207,(주)비엘,142760,17-Dec,5.52,-87.38,0.0,-112.07,-357.72,0.0,-61.33,-1.59,-60.64,-22.69,0.96,-5.81,0.2,0.0,0.0,11.79,-18.9,4.54,6.4,1.95,88.21,6.77,1590.6,442.18,1529.43,77.08,712.52,3.19,-17.69,-13.728155757159616,-12.740998003287825,7607067,-0.23064269734192558,0.06342387711756207,7.574908432099513,-0.22460026059510033,0.36845176247265626,0.03406702530882224,0.936576122882438,0.1774761144914028,1.0151672122777413,-1.3125975411259854,"전문, 과학 및 기술 서비스업"
