회사명,거래소코드,회계년도,유동부채비율(IFRS연결),매출액순이익률(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 부채비율(IFRS연결),차입금의존도(IFRS연결),이자보상배율(이자비용)(IFRS연결),금융비용 대 총비용비율(IFRS연결),설비투자효율(IFRS연결),CASH FLOW 대 총자본비율(IFRS연결),자본금회전률(IFRS연결),총자본투자효율(IFRS연결),총자본회전률(IFRS연결),유동자산증가율(IFRS연결),매출액증가율(IFRS연결),매출액총이익률(IFRS연결),자기자본순이익률(IFRS연결),매출채권회전률(IFRS연결),재고자산회전률(IFRS연결),유형자산회전율(IFRS연결),매출원가 대 매출액비율(IFRS연결),부채비율(IFRS연결),유동비율(IFRS연결),자기자본배율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),현금비율(IFRS연결),타인자본회전률(IFRS연결),정상영업이익증가율(IFRS연결),총자본순이익률(IFRS연결)
(주)서부티엔디,6730,19-Dec,95.61,0.04,5.02,0,28.76,3.23,43.52,0.48,19.32,10.52,2.03,4.77,5.11,0.07,-20.59,18.35,30.11,0.01,19.24,210.43,0.15,69.89,169.36,17.42,2425.75,17.32,-29.31,1.75,0.12,0,0
(주)서산,79650,19-Dec,6.64,-5.42,-4.13,0,2.51,16.73,0,-2188.81,-2.41,36.42,1.1,26.2,10.52,0.43,-2.56,-37.18,7.06,-1.67,3.97,7.36,1.44,92.94,7.06,594.31,3526.07,504.05,30.67,202.98,6.43,0,-2.33
(주)서연탑메탈,19770,19-Dec,120.54,-2.01,-5.15,0,5.61,10.03,37.87,0.15,1.42,35.76,5.73,27.41,16.97,0.99,-6.38,8.66,3.13,-4.46,4.4,32.02,2.08,96.87,133.22,92.49,1123.52,85.8,-3.88,2.53,1.74,0,-2
(주)서울리거,43710,19-Dec,74.66,-10.26,89.7,0,-12.71,-18.67,29.55,-4.74,1.45,20.6,-8.36,5.74,3.51,0.86,52.49,347.54,24.79,-14.44,4.16,5.18,6.62,75.21,81.06,156.08,343.38,97.62,23.12,24.79,2.29,0,-8.83
(주)서울옥션,63170,19-Dec,93.34,-19.39,-15.84,-191.3,-1.77,-0.76,40.22,-1.82,4.31,13.94,-0.46,5.33,4.26,0.24,-25,-27.32,38.42,-9.25,5.66,0.76,0.9,61.58,152.03,167.95,810.44,78.65,25.17,20.61,0.39,-152.81,-4.62
(주)서울제약,18680,19-Dec,93.95,-3.46,1,0,1.63,2.07,37.43,2.58,2.43,41.56,1.24,12.72,23.08,0.76,0.67,23.83,56.73,-6.36,8.04,5.23,1.34,43.27,149.17,94.35,670.57,59.2,-2.13,28.68,1.31,0,-2.65
(주)서원인텍,93920,19-Dec,25.04,4.18,4.73,158.89,6.94,51.85,4.19,52.05,-0.42,131.06,10.44,32.57,27.63,1.54,6.31,22.65,10.23,7.97,12.28,14.53,7.18,89.77,25.21,356.53,1727.34,304.88,51.29,83.84,7.61,231.06,6.44
(주)서전기전,189860,19-Dec,48.71,2.19,8.11,-60.32,6.81,21.95,7.43,5.98,0.24,38.37,7.33,12.59,18.69,1.12,13.5,6.54,18.65,3.58,3.59,13.64,2.19,81.35,50.16,142.7,778.73,117.78,13.85,13.02,3.54,-79.04,2.45
(주)서진시스템,178320,19-Dec,80.1,12.49,28.61,61.56,6.63,8.79,38.48,6.22,1.65,69.35,4.62,43.35,32.73,0.78,39.6,20.88,23.47,20.25,10.52,4.2,1.4,76.53,110.96,100.84,2911.58,46.72,0.32,12.28,1.53,47.54,9.79
(주)서진오토모티브,122690,19-Dec,397.11,-1.18,0.52,0,2.96,5.88,39.66,0.31,1.08,39.35,4.86,141.97,21.88,1.65,3.1,11.14,4.57,-17.63,8.86,17.76,2.76,95.43,475.78,49.08,835.24,35.57,-35.12,2.15,2.02,0,-1.94
(주)서플러스글로벌,140070,19-Dec,24.88,1.39,-2.17,-92.17,10.15,20.82,25.35,5.48,0.26,85.43,6.26,29.83,9.25,0.61,-10.95,-24.46,17.34,1.28,41.35,1.06,2.67,82.66,43.03,404.37,3336.26,87.04,52.95,59.94,1.98,-89.99,0.85
(주)서한,11370,19-Dec,36.29,1.8,-0.64,-76.62,0.82,2.69,8.52,16.1,-0.37,498.72,0.96,10.86,10.75,1.16,1.31,-14.39,8.84,3.28,112.38,6.72,57.46,91.16,55.37,345.83,598.84,284.34,57.41,25.27,3.21,-63.14,2.09
(주)서희건설,35890,19-Dec,117.34,4.97,14.56,73.55,6.13,13.11,15.6,11.26,0.56,1208.05,7.81,13.07,21.08,1.36,17.62,9.15,14.36,18.62,183.49,297.63,126.56,85.64,147.49,140.74,365.29,139.84,19.32,36.09,2.19,42.33,6.76
(주)선광,3100,19-Dec,20.15,3.51,28.52,-51.66,29.29,10.54,53.01,1.64,9.83,24.66,5.98,21.97,13.89,0.23,-27.77,6.91,27.21,1.65,6.44,251.44,0.35,72.79,131.25,88.07,4624.96,87.9,-1.04,10.98,0.45,53.9,0.81
(주)선익시스템,171090,19-Dec,30.91,8.15,3.56,38.53,6.35,18.86,1.21,170.4,-0.52,92.74,4.63,19.48,21.25,0.74,-3.26,-25.72,27.31,8.19,11.9,5.85,2.95,72.69,32.56,278.98,2014.06,235.7,41.74,55.75,2.85,34.57,6.05
(주)성광벤드,14620,19-Dec,5.4,3.05,0.46,0,-1.66,-5.34,4,10.6,-0.07,19.19,-0.67,14.15,9.61,0.4,1.06,19.1,18.04,1.41,4.39,1.59,0.8,81.96,14.29,1026.39,3071.78,482.11,43.74,181.41,3.2,0,1.23
(주)성도이엔지,37350,19-Dec,178.37,-9.43,15.73,-516.53,4.06,7.42,3.64,9.3,-0.14,268.04,5.43,89.94,14.04,1.44,1.75,31.47,5.71,-38.71,9.25,7.28,28.06,94.29,273.55,147.41,1797.03,107.81,22.64,23.7,2.19,-7.57,-13.54
(주)성우하이텍,15750,19-Dec,127.9,0.87,3.88,61.84,9.64,15.34,40.6,1.53,1.21,41.46,9.48,84.74,19.23,1,4.19,-1.95,7.77,3.69,6.16,7.74,1.91,92.23,161.83,87.6,2710.69,61.61,-6.06,11.82,1.63,-2.7,0.87
(주)성창오토텍,80470,19-Dec,131.57,-0.11,1.44,0,3.3,6.42,20.6,-0.41,0.58,103.92,3.96,36.38,30.94,1.21,-3.48,1.63,11.43,-0.58,4.62,8.95,3.62,88.57,160.53,111.33,1037.24,83.86,5.72,7.36,1.97,-317.2,-0.13
(주)세경하이테크,148150,19-Dec,41.29,7.51,38.73,-33.71,9.76,40.6,16.69,174.61,0,109.63,13.3,68.45,32.5,1.58,0.17,9.65,19.13,18.64,6.84,15.56,3.61,80.87,48.7,151.3,2373.86,125.32,14.24,52.16,4.38,-39.43,11.89
(주)세동,53060,19-Dec,604.85,-4.21,-6.56,0,2.1,3.01,49.34,-0.09,1.71,40.93,2.66,13.76,20.63,1.22,5.83,4.67,8.73,-35.04,9.12,20.31,2.24,91.27,752.84,49.72,127.38,41.11,-35.66,5.03,1.43,0,-5.15
(주)세림비앤지,340440,19-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(주)세보엠이씨,11560,19-Dec,91.7,-1.23,17.31,-137.26,-4.66,-20.41,18.07,-10.75,0.05,1151.37,-9.93,116.94,111.85,2.3,22.82,29.94,0.27,-5.21,20.62,62.99,20.67,99.73,94.8,172.22,2850.42,167.6,34,4.36,5.4,-131.98,-2.83
(주)세영디앤씨,52190,19-Dec,6.92,-951.83,-52.75,0,-246.37,-250.9,2.48,-2.32,11.22,-316.43,-17.54,0.14,-48.63,0.05,-41.28,-86.25,-82.97,-69.15,1.27,48.3,0.45,182.97,7.51,700.54,153.28,700.17,38.68,22.52,0.12,0,-43.48
(주)세운메디칼,100700,19-Dec,7.99,14.92,7.84,-2.03,19.2,154.76,0.62,290.93,-0.22,97.92,12.29,15.27,36.25,0.66,6.74,4.02,41.02,10.44,4.26,3.17,1.83,58.98,8.62,797.82,2173.89,527.79,51.31,264.85,7.66,22.81,9.91
(주)세원물산,24830,19-Dec,37.86,11.39,16.87,125.87,27.19,33.01,2.39,78.2,0.09,51.09,11.04,27.61,22.36,0.44,40.51,32.73,19.28,7.2,8.32,6.52,0.72,80.72,50.23,82.28,4528.2,44.98,-4.47,7.94,1.42,312.69,4.98
(주)세종메디칼,258830,19-Dec,5.97,18.87,6.7,-8.55,19.47,84.4,1.31,45.76,-1.29,59.09,6.39,4.79,20.75,0.34,-3,9.42,63.02,7.76,8.2,8.98,1.11,36.98,8.19,849.06,1364.36,773.5,41.36,95.72,4.53,17.81,6.39
(주)세중,39310,19-Dec,33.03,1.51,11.71,0,3.67,14.45,11.29,20.11,-0.3,87.96,4.5,16.91,15.81,1.3,0.59,19.85,16.24,2.73,9.25,25,11.62,83.76,45.22,321.42,892.33,304.19,50.37,93.25,4.57,496.42,1.95
(주)세진티에스,67770,19-Dec,7.42,-9.94,-1.74,0,6.78,41.87,2.45,-6.7,-1.48,61.53,3.51,5.05,13.79,0.51,4.93,1.49,18.61,-5.49,7.57,18.62,2.04,81.39,9.16,965.41,892.89,927.11,58.78,141.05,7.33,0,-5.11
(주)세코닉스,53450,19-Dec,148.39,-3.78,-10.24,0,3.22,6,41.94,0.2,1.1,41.65,4.16,80.21,20.94,1.22,-19.41,10.54,10.4,-14.76,10.06,4.21,2.5,89.6,227.02,97.28,1851.34,39.3,-1.24,8.33,1.78,-87.12,-4.63
(주)세토피아,222810,19-Dec,1596.29,-281.07,0,0,10.07,2.48,51.95,-1.46,24.72,-8222,2.35,4.2,-47.44,0.23,0,0,36.83,-1217.81,9.68,605.78,40.49,63.17,1764.09,80.97,96.47,80.93,-16.29,4.43,0.25,0,-65.66
(주)세화피앤씨,252500,19-Dec,10.82,2.04,-4.77,-46.14,-0.51,-4.37,0.14,11.74,0.02,70.27,-0.51,14.09,26.79,0.97,-4.28,5.48,39.67,2.29,4.58,4.33,2.51,60.33,13.17,591.09,1256.07,399.06,46.96,112.41,6.85,-24.93,1.97
(주)셀루메드,49180,19-Dec,289.25,-208.1,31.06,0,-3.65,-1.33,38.08,-4.04,3.06,-580.94,-1.01,1.6,-47.19,0.31,82.84,65.28,11.25,-236.04,1.96,3.86,3.08,88.75,313.22,91.78,42.58,84.76,-5.75,35.48,0.47,0,-65.11
(주)셀리드,299660,19-Dec,1.16,0,0,0,0,-161.95,0.14,-627.75,-25.43,-11.28,-3.66,0,-2.16,0,0,0,0,-4.86,0,0,0,0,2.31,4523.33,1071.75,4523.33,50.35,280.48,0,0,-4.75
(주)셀리버리,268600,19-Dec,7.64,-947.58,-22.8,0,-342.86,-198.89,0.54,-2083.78,-3.35,-833.61,-23.04,0.54,-38.4,0.06,-4.23,-54.04,-91.73,-62.3,5.95,70.71,1.45,191.73,13.1,1361.22,697.78,1361.22,85.17,59.75,0.54,0,-55.48
(주)셀바스에이아이,108860,19-Dec,88.06,-24.26,-5.13,0,-6.27,-4.41,35.82,-3.95,3.21,48.42,-2.36,3.21,13.87,0.37,40.01,-0.4,100,-22.41,4.49,5.34,1.32,0,114.9,106.1,276.06,93.42,2.5,50.18,0.67,0,-8.89
(주)셀바스헬스케어,208370,19-Dec,68.6,-14.89,14.17,0,-7.18,-6.99,41.34,-3.71,3.25,44.49,-3.41,2.5,16.94,0.51,47.68,11.61,37.87,-17.18,5.66,3.37,1.23,62.13,95.16,142.86,222.8,113.33,15.06,78.16,0.9,0,-7.53
(주)셀트리온제약,68760,19-Dec,53.26,4.96,4.1,0,12.15,11.04,34.29,2.81,3.01,39.6,4.48,10.18,15.97,0.38,-5.55,18.13,36,3.13,1.28,4.62,0.84,64,68.19,126.63,1642.94,104.44,8.43,7.22,0.93,312.82,1.86
(주)셀트리온헬스케어,91990,19-Dec,64.29,5.9,-3.38,470.54,-15.81,-14.71,4.08,12.1,0.39,4926,-6.11,7.74,4.14,0.38,-4.55,54.3,19.01,3.94,2.85,0.66,798.99,80.99,71.01,248.93,1157.45,97.35,55.99,27.73,0.88,0,2.24
(주)셀피글로벌,68940,19-Dec,110.25,0.03,30.79,0,-0.56,-0.66,48.47,-0.36,0.89,104.94,-0.39,3.96,19.46,0.78,41.31,2.63,23.93,0.05,6.24,4.15,3.85,76.07,142.57,168.89,237.6,131.57,31.31,17.18,1.43,0,0.02
(주)소리바다,53110,19-Dec,128.66,-28.24,-11.56,0,-10.51,-14.52,37.88,-4.09,2.12,-147.12,-8.63,1.53,-4.39,0.77,-46.97,-2.15,0,-53.13,10.6,9.07,19.54,0,146.34,46.42,67.52,39.71,-27.98,2.68,1.33,0,-21.75
(주)소프트센,32680,19-Dec,80.31,-3.55,-27.15,0,10.27,36.85,0.29,0.5,0.46,2583.8,16.43,5.7,9.08,1.35,-5.33,-28.9,8.52,-9.79,3.91,15.35,171.92,91.48,80.47,210.56,195,202.28,49.2,152.27,2.64,-82.27,-4.79
(주)손오공,66910,19-Dec,85.81,-2.61,19.93,-272.76,-1.21,-2.84,25.3,-4.2,0.6,34.3,-1.59,6.02,10.72,1.44,14.66,-25.99,19.11,-8.59,6.03,4.28,4.63,80.89,127.93,170.33,181.72,77.4,26.48,8.44,2.55,-318.99,-3.75
(주)솔고바이오메디칼,43100,19-Dec,52.14,-87.62,-24.82,0,-33.44,-30.8,29.57,-10.2,0.42,-85.35,-12.7,0.27,-16.75,0.33,-5.25,-4.87,29.58,-44.62,4.29,1.86,1.08,70.42,70.19,195.04,40.45,126.91,29.11,16.49,0.92,0,-28.56
(주)솔루에타,154040,19-Dec,137.53,-1.33,-12.41,0,2.15,4.8,32.64,1.65,1.06,63.36,2.97,40.9,20.11,1.29,-15.02,12.78,14.65,-4.1,6.62,6.49,4.48,85.35,163.17,101.28,984.82,74.46,0.67,18.06,2,11.66,-1.71
(주)솔본,35610,19-Dec,10.73,7.19,5.51,-82.09,11.74,37.55,1.89,2.2,-1.33,271.22,4.53,5.87,16.53,0.4,-12.8,-4.89,52.92,1.27,3.39,61.27,5.87,47.08,13.72,497.33,1025.98,489.44,37.49,116.25,3.59,-97.95,2.85
(주)쇼박스,86980,19-Dec,15.33,4.14,-8.06,-25.11,-33.07,-105.77,1.18,14.47,-1.31,14556.91,-15.74,2.51,41.85,0.46,-19.02,14.8,13.53,2.32,7.36,0,119.17,86.47,17.48,519.64,449.39,519.64,54.77,31.68,2.47,-62.95,1.89
(주)수산아이앤티,50960,19-Dec,3.57,18.14,6.35,-6.96,33.15,156.05,0.14,1784.85,-5.31,56.81,6.67,4.74,11.66,0.21,10.17,-1.65,0,3.9,3.57,26.29,0.96,0,4.46,1615.86,2255.47,1586.47,51.83,52.15,5.82,5.27,3.76
(주)수젠텍,253840,19-Dec,65.07,-249.08,0,0,-104.32,-19.01,22.66,-16.26,0.42,-24.79,-8.83,0.59,-6.22,0.08,0,0,0.18,-39.34,3.5,2.76,0.3,99.82,86.76,205.89,376.08,197.08,36.89,16.63,0.18,0,-21.09
(주)슈프리마,236200,19-Dec,8.34,35.97,28.18,127.86,28.91,171.5,0.11,4521.48,-4.45,674.2,14.04,20.21,24.3,0.55,7.45,36.72,64.46,21.18,7.87,6.58,13.32,35.54,8.92,776.07,3792.27,664.69,51.76,137.18,7.43,101.58,19.62
(주)슈프리마아이디,317770,19-Dec,2.63,9.17,75.41,-70.66,26.05,206.17,1.49,110.03,-2.96,225.47,7.53,11.63,8.88,0.37,82.24,-33.2,39.75,3.53,7.5,2.92,9.73,60.25,3.79,3602.45,2587.82,3243.59,88.62,579.06,6.31,-91.17,3.38
(주)슈프리마에이치큐,94840,19-Dec,2.82,31.49,21.49,14.22,26.34,64.42,0.39,392.82,-5.44,260.85,3.95,5,8.57,0.16,30.75,-18.51,39.06,5.79,9.28,4.52,5.05,60.94,6.53,1871.29,2787.3,1747.94,46.82,252.44,2.68,-72.19,5.18
(주)슈피겐코리아,192440,19-Dec,12.25,13.05,16.66,-5.54,11.44,68.37,5.69,69.41,-1.4,192.31,10.2,99.27,24.84,0.96,-3.99,15.62,67.3,14.52,19.66,12.06,6.84,32.7,17.53,516,9473.66,429.52,43.35,143.14,7.08,-10.36,12.53
(주)스마트솔루션즈,136510,19-Dec,43.76,-35.1,-10.69,-723.25,-31.01,-45.27,23.44,-30.14,0.45,6.58,-13.97,6.33,2.4,0.43,-21.75,-22.11,20.7,-20.51,3.1,5.4,1.23,79.3,44.63,163.38,970.84,136.49,19.18,71.43,1.56,0,-14.92
(주)스맥,99440,19-Dec,103.06,-12.4,1.97,0,-9.03,-9.63,44.25,-3.97,2.14,7.6,-5.5,9.89,2.47,0.61,-9.98,2.44,11.11,-17.61,3.05,1.92,2.04,88.89,132.99,128.02,685.65,54.05,12.4,5.74,1.08,0,-7.62
(주)스카이문스테크놀로지,33790,19-Dec,33.31,-214.86,-52.19,0,-81.2,-67.18,11.14,-39.7,-0.66,-83.29,-17.29,0.67,-36.94,0.14,-66.38,-60.36,12.22,-45.63,4.68,9.01,0.47,87.78,34.65,196.93,233.66,185.01,23.98,159.84,0.39,0,-29.6
(주)스킨앤스킨,159910,19-Dec,30.97,-30.11,-10.07,0,-14.36,-21.81,15.58,-19.61,0,33.87,-5.83,1.68,3.73,0.38,-10.05,-33.76,10.45,-16.52,6.9,5.9,1.39,89.55,36.46,231.93,282.22,213.07,29.94,171.2,1.26,0,-11.57
(주)스타플렉스,115570,19-Dec,101.8,-6.7,-1.19,-216.92,-1.97,-2.2,47.15,0.54,2.48,31.62,-1.34,28.74,12.84,0.67,11.55,-2.48,13.09,-9.26,5.79,3.52,1.48,86.91,153.69,103.11,1997.92,51.21,1.25,5.45,1.15,1633.75,-4.5
(주)스튜디오산타클로스엔터테인먼트,204630,19-Dec,88.22,-13.97,34.72,-3826.46,-4.27,-4.56,7.35,-18.56,0.19,51.48,-2.19,14.19,5.2,0.59,78.66,48.68,0,-12.79,8.39,14.55,5.32,0,91.93,138.18,1371.27,130.48,17.55,60.34,1.62,0,-8.21
(주)스페코,13810,19-Dec,94.81,13.19,7.53,0,5.61,9.09,21.93,7.29,0.08,164.43,4.77,10.2,19.53,0.88,15.63,36.08,18.08,28.18,5.77,4.54,6.85,81.92,110.49,133.91,522.74,104.16,15.27,30.41,1.53,0,11.63
(주)승일,49830,19-Dec,21.55,-0.43,-4.32,0,3.39,15.21,4.79,-13.35,-0.3,31.71,2.71,44.56,16.05,0.78,-22.45,-9.53,4.89,-0.41,6.2,7.83,1.41,95.11,21.68,205.85,4582.82,152.21,18.74,59.09,4.08,0,-0.34
(주)시공테크,20710,19-Dec,38.69,12.81,27.1,967.56,2.26,5.78,0.21,72.76,-1.48,134.96,1.75,11.95,22.91,0.86,28.48,64.17,11.74,15.13,10.24,506.86,4.55,88.26,43.26,176.78,1080.89,176.4,20.74,49.6,3.21,0,11.06
(주)시너지이노베이션,48870,19-Dec,53.01,7.73,20.73,0,7.46,7.46,23.36,0.26,6.35,124.68,2.76,1.78,19.01,0.41,-13.38,22.81,34.54,5.2,4.5,5.16,2.66,65.46,58.94,88.97,230.55,66.96,-3.68,22.94,1.03,-71.65,3.14
(주)시노펙스,25320,19-Dec,66.71,2.85,-3.04,815.98,6.67,20.42,23.29,6.58,1.1,64.43,9.43,6.01,26.87,1.39,9.28,31.23,22.13,8.27,12.11,13.8,3.03,77.87,85.84,133.26,225.66,97.74,11.94,54.93,2.7,394.3,3.97
(주)시스웍,269620,19-Dec,3.62,13.25,28.27,-59.06,16.01,22.92,16.34,1.45,-3.1,129.51,4.82,8.27,9.27,0.34,9.31,-33.49,25.52,5.25,1.8,4.66,4.19,74.48,26.65,1946.92,2166.32,1711.21,52.74,1083.74,2.32,-86.7,4.49
(주)시큐브,131090,19-Dec,18.5,28.25,14.05,98.14,25.33,77.6,0.47,798.55,-1.06,278.22,12.36,4.92,27.73,0.52,12.24,30.58,65.09,17.76,3.41,16827.03,5.67,34.91,18.94,527.41,826.31,527.39,66.5,316.67,3,119.47,14.68
(주)시티랩스,139050,19-Dec,127.8,-14.86,226.76,0,1.65,1.19,49.81,-0.43,3.32,51.67,0.73,4.03,9.52,0.68,243.64,110.9,63.09,-48.27,10.66,29.12,3.61,36.91,158.96,67,83.36,64.03,-16.28,23.46,1.17,0,-10.08
(주)신진에스엠,138070,19-Dec,35.87,4.58,8.51,-23.82,12.49,14.38,30.83,3.2,1.54,34.55,5.43,11.54,15.95,0.45,29.15,-7.93,21.47,3.46,4.2,2.24,0.92,78.53,60.61,229.63,1585.28,138.6,28.95,36.6,1.26,-26.81,2.07
(주)신테카바이오,226330,19-Dec,1.55,-4977.8,0,0,-711.05,-178.72,0.8,-93.67,-1.28,-1144.47,-6.84,0.07,-41.56,0.01,0,0,0,-49.81,16.31,0,0.27,0,3.98,6401.48,701.04,6401.48,93.74,2414.01,0.25,0,-47.9
(주)신화콘텍,187270,19-Dec,36.16,-6.08,0.54,0,10.37,12,35.78,-0.82,1.57,23.8,5.32,8.74,11.61,0.51,-3.38,14.59,20.51,-3.96,5.88,5.54,1.06,79.49,79.58,186.42,963.62,132.91,17.4,35.14,1.21,0,-3.13
(주)심텍,222800,19-Dec,341.59,-3.94,3.27,-834.02,2.94,4.34,40.78,-1.35,1.23,52.59,3.5,82.16,30.88,1.21,0.71,-0.73,8.79,-19.5,14.72,6.6,1.96,91.21,420.02,46.07,1334.88,19.4,-35.43,1.77,1.57,-158.28,-4.77
(주)심텍홀딩스,36710,19-Dec,297.55,-3.86,2.97,-2268.15,2.66,3.91,40.42,-1.24,1.28,54.97,3.07,50.78,30.97,1.17,-0.06,-0.67,8.65,-12.11,14.72,6.6,1.99,91.35,367.28,46.27,581.99,19.56,-34.21,2.64,1.55,-157.59,-4.53
(주)싸이맥스,160980,19-Dec,30.34,3.8,9.65,-67.31,12.96,24.14,14.47,5.02,-1.41,40.04,7.18,15.79,10.55,0.58,6,-37.45,14.87,4.12,7.85,3.7,1.94,85.13,42.37,204.16,1945,136.67,22.2,36.45,2.22,-87.38,2.2
(주)싸이토젠,217330,19-Dec,6,-518.3,-13.35,0,-384.16,-170.88,4.22,-94.69,-4.53,-40.28,-15.57,0.28,-4.85,0.04,-29.3,-34.81,-23.37,-20.72,1.62,0,0.4,123.37,10.02,1328.5,636.15,1328.5,66.98,936.31,0.64,0,-19.5
(주)썸에이지,208640,19-Dec,19.19,-388.1,5.77,0,-482.1,-221.39,15.69,-27.81,-0.61,-906.59,-40.44,0.36,-6.11,0.09,5.23,2.63,0,-76.84,5.19,0,9.45,0,22.35,567.79,205.13,567.79,73.36,210.07,0.18,0,-33.47
(주)쎄노텍,222420,19-Dec,66.53,-7.64,20.98,0,2.67,1.49,52.24,-0.18,1.84,10.01,0.88,7.06,5.77,0.36,-22.16,-13.99,22.59,-6.03,4.09,1.53,0.64,77.41,144.45,113.18,868.55,44.99,3.59,5.15,0.67,0,-2.77
(주)쎄니트,37760,19-Dec,68.85,1.75,7.52,-30.37,4.79,6.74,35.52,3.1,1.28,35.21,3.35,6.49,14.75,0.72,16.11,-3.51,17.94,2.95,7.81,9.77,1.55,82.06,98.63,112.08,428.53,89.23,4.19,18.07,1.5,-7.53,1.27
(주)쎄트렉아이,99320,19-Dec,41.2,10.48,24,53.96,23.26,51.29,1.83,108.65,-0.03,209.62,16.96,25.7,40.68,0.81,76.38,52.23,21.29,11.74,13.97,30.15,3.66,78.71,49.4,191.48,1755.01,177.85,25.23,74.66,2.75,65.14,8.46
(주)쎌바이오텍,49960,19-Dec,4.04,15.73,-3.34,-62.7,26.34,257.46,0.85,108.05,-1.91,73.52,11.18,9.78,22.21,0.42,-14.55,-26.52,76.61,6.91,6.9,16.82,1.42,23.39,4.54,1653.34,2204.31,1579.9,60.08,224.93,8.26,-73.27,6.56
(주)쏠리드,50890,19-Dec,109.12,2.36,5.34,-36.7,2.06,2.95,25.07,-1.32,0.91,128.85,1.67,8.98,19.61,0.83,9.83,3.01,28.58,4.97,7.57,6.21,5.75,71.42,129.52,93.28,469.9,71.33,-3.19,41.24,1.44,-432.4,1.96
(주)씨씨에스충북방송,66790,19-Dec,20.06,-7.06,-7.67,0,16.9,39.56,7.88,1.35,1.89,33.56,10.42,0.46,18.75,0.59,2.65,-3.3,25.87,-5.9,18.48,0,0.99,74.13,35.76,191.06,52.79,191.06,13.46,30.55,2.03,0,-4.18
(주)씨에스,65770,19-Dec,21.77,-1.67,-16.37,-112.66,3.69,21.88,0.83,-77.92,-0.59,163.35,4.37,3.41,15.9,1.08,-18.4,-45.26,14.86,-2.34,8.24,5.53,11.39,85.14,24.95,460.85,231.06,382.03,62.88,21.31,4.18,-140.19,-1.8
(주)씨에스에이코스믹,83660,19-Dec,83.13,-11.88,-11.37,0,-4.77,-18.37,16.27,-20.75,0.32,34.81,-9.23,6.51,6.57,1.82,-12.22,1.2,42.86,-38.05,5.86,6.67,10.81,57.14,101.1,174.19,167.23,101.46,30.67,28.69,4.21,-28432.76,-21.61
(주)씨엔플러스,115530,19-Dec,68.32,-33.51,-43.67,0,-11.18,-23.09,15.36,-1.01,4.09,-0.02,-9.82,3.82,0,0.63,-26.02,-22.75,15.89,-46.74,3.83,5.4,1.42,84.11,73.93,104.11,213.73,64.43,1.61,5.62,1.16,0,-21.21
(주)씨엠에스에듀,225330,19-Dec,123.01,7.48,11.72,17.64,21.36,27.6,36.79,8.72,0.88,65.75,17.15,8.67,36.53,0.85,13.41,17.07,0,15.29,36.66,118.37,1.51,0,164.07,25.52,408.78,24.02,-34.7,8.67,1.45,34.48,6.34
(주)씨유메디칼시스템,115480,19-Dec,85.91,-3.6,23.28,-266.34,-1.22,-1.36,47.72,0.47,5.5,27.71,-0.77,9.55,9.76,0.7,33.82,7.2,21.81,-5.95,4.48,5.7,1.83,78.19,132.65,112.51,549.43,79.91,4.62,19.27,1.26,-32.41,-2.51
(주)씨제이이엔엠,35760,19-Dec,52.69,1.55,-19.54,-35.9,17.55,29.13,15.17,9.09,0.48,168.23,12.24,34.27,25.07,0.62,-7.22,10.59,38.58,3.65,4.42,35.29,3.23,61.42,72.43,100.93,2664.64,93.67,0.29,16.25,1.35,7.32,0.96
(주)씨젠,96530,19-Dec,18.45,21.9,19.48,148.62,16.87,47.97,7.71,46.17,-0.32,263.84,10.51,9.3,31.57,0.68,19.55,19.25,66.66,19.01,2.92,5.77,5.76,33.34,28.06,491.11,1162.98,424.9,56.36,174.06,3.11,111.05,14.86
(주)씨티씨바이오,60590,19-Dec,117.14,-10.11,-2.71,0,-0.29,-0.36,37.66,-0.79,2.59,15.79,-0.21,14.1,6.68,0.72,11.37,-1.64,19.56,-17,4.33,4.57,1.59,80.44,150.13,100.23,774.07,67.41,0.11,17.48,1.26,0,-7.28
(주)씨티케이,260930,19-Dec,12.09,6.18,5.25,-2.96,5.94,25.14,5.27,10.42,-1.13,109.55,3.41,22.98,13.43,0.59,-17.31,5.31,26.87,4.54,3.6,12.99,3.29,73.13,15.72,546.13,3411.15,515.28,46.59,172.65,4.76,-24.4,3.64
(주)아가방앤컴퍼니,13990,19-Dec,26.36,-11.78,-1.8,0,-3.29,-8.37,3.35,-10.89,0.12,22.13,-2.35,8.16,5.38,0.71,0.79,18.94,52.74,-11.05,6.96,2.67,3.2,47.26,39.09,228.84,821.22,85.84,24.42,12.73,2.89,0,-8.34
(주)아나패스,123860,19-Dec,60.18,-36.51,33.73,0,-15.16,-13.31,24.45,-35.82,-0.79,-212.65,-7.41,12.01,-11.94,0.56,35.77,18.13,24.15,-35.68,21.49,6.29,6.61,75.85,125.51,308.41,1090.16,261.11,55.61,27.78,1.31,0,-20.42
